date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:11:56	8091/8091	---M--	200	added ('OK')	image/jpeg	etag:%225fa14aca-1f9b%22	https://html.merku.love/shelly/assets/img/gallery3.jpg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/gallery3.jpg	(from https://html.merku.love/shelly/)
08:11:56	7483/7483	---M--	200	added ('OK')	image/jpeg	etag:%225fa14aca-1d3b%22	https://html.merku.love/shelly/assets/img/gallery5.jpg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/gallery5.jpg	(from https://html.merku.love/shelly/)
08:11:57	65151/65151	---M--	200	added ('OK')	image/jpeg	etag:%225f9fc7f1-fe7f%22	https://html.merku.love/shelly/assets/img/img1.jpg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/img1.jpg	(from https://html.merku.love/shelly/)
08:11:57	352/352	---M--	200	added ('OK')	image/png	etag:%225f9c887a-160%22	https://html.merku.love/shelly/assets/img/icon10.png	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/icon10.png	(from https://html.merku.love/shelly/)
08:11:57	1517/1517	---M--	200	added ('OK')	image/png	etag:%225f9c887a-5ed%22	https://html.merku.love/shelly/assets/img/ico.png	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/ico.png	(from https://html.merku.love/shelly/)
08:11:58	79972/79972	---M--	200	added ('OK')	image/jpeg	etag:%225f9fc7f0-13864%22	https://html.merku.love/shelly/assets/img/img2.jpg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/img2.jpg	(from https://html.merku.love/shelly/)
08:11:58	107720/107720	---M--	200	added ('OK')	image/jpeg	etag:%225fa16d41-1a4c8%22	https://html.merku.love/shelly/assets/img/img3.jpg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/img3.jpg	(from https://html.merku.love/shelly/)
08:11:58	102548/102548	---M--	200	added ('OK')	image/jpeg	etag:%225fa16d40-19094%22	https://html.merku.love/shelly/assets/img/img4.jpg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/img4.jpg	(from https://html.merku.love/shelly/)
08:11:59	243/243	---M--	200	added ('OK')	image/png	etag:%225f9c8898-f3%22	https://html.merku.love/shelly/assets/img/plus.png	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/plus.png	(from https://html.merku.love/shelly/)
08:11:59	110774/110774	---M--	200	added ('OK')	image/jpeg	etag:%225f9fc681-1b0b6%22	https://html.merku.love/shelly/assets/img/img6.jpg	D:/Fandik%20projek/Web%20JC/html.merku.love/shelly/assets/img/img6.jpg	(from https://html.merku.love/shelly/)
